431,12,flow,,,,,,,,,,
num,name,east,north,power,magnitude,shape,type,sfi,ohmS,lwi,geol,flow
137,b137,790207,1093044,40,149,V,CP,1.128994021,767.5625,0,GRANITES,1
138,b138,774798,1151676,50,35,K,CP,0.437977655,3458.439872,44.7757664,GRANITES,0.4
139,b139,793808,1157500,60,108,K,CP,0.876812408,1440.846062,24.4945205,GRANITES,1
140,b140,794272,1173314,40,29,W,NC,0.235702261,2597.622141,10.0865471,VOLCANO-SEDIM. SCHISTS,1
141,b141,769958,1137173,52,151,V,CP,1.337396053,1387.004722,9.614,GNEISS-MIGMATITES,0.9
142,b142,764896,1131618,50,15,V,NC,0.274923116,4833.63,2.6704854,GRANITES,0.2
143,b143,765096,1124909,30,23,V,CP,0.461976431,767.5625,,GNEISS-MIGMATITES,0.4
144,b144,760779,1119807,50,16,V,CP,0,3272.144,22.1440367,GRANITES,0
145,b145,760506,1116077,30,19,V,NC,0,0,,GRANITES,0
146,b146,763063,1054784,50,16,V,CP,0,0,7.7,GRANITES,0
147,b147,769302,1055036,50,113,C,CP,1.395545455,2373.804859,9.2407317,GNEISS-MIGMATITES,0.7
148,b148,749534,1061331,50,127,V,CP,1.38188868,3572.954167,32.9210256,GEOSYN. GRANITES,0.8
149,b149,773470,1059889,80,56,V,EC,0.454568645,767.6625,0.1,GRANITES,1
150,b150,775487,1054834,30,19,V,CP,0,0,8.6893617,GRANITES,0
151,b151,783677,1094704,78,56,V,CB2P,0.454568645,1190.5425,41.06,GRANITES,1
152,b152,776217,1161953,110,129,V,NC,0.514259497,854.6808121,9.8146497,GRANITES,2
153,b153,748669,1136769,80,132,U,EC,1.03154401,1288.404258,40.3472527,GRANITES,1
154,b154,778287,1095277,60,13,V,NC,0,,40.9877419,GNEISS-MIGMATITES,0
155,b155,776515,1051845,130,196,V,CB2P,0.532409813,767.5625,,GRANITES,3
156,b156,772216,1095833,50,24,U,NC,0,,0,GRANITES,0
157,b157,789892,1180154,60,29,C,NC,0.675,767.5625,0,GRANITES,0.3
158,b158,760382,1174862,120,195,U,NC,0.565685425,967.9958333,29.3,GRANITES,3
159,b159,770648,1042266,60,23,C,NC,0.247324899,3286.096505,12.1673826,GRANITES,0.6
160,b160,790635,1092760,70,142,V,CP,1.097552684,1497.850534,7.7515385,GNEISS-MIGMATITES,0.9
