num	name	east	north	power	magnitude	shape	type	sfi	ohmS	lwi	geol	flow
156	b156	772216	1095833	50	24	U	NC	0.589255651	0	0	GRANITES	0
157	b157	789892	1180154	50	57	C	NC	0.577777778	0	0	GRANITES	0.3
158	b158	760382	1174862	50	24	U	NC	0.589255651	429	13.8	GRANITES	3
159	b159	770648	1042266	50	57	C	NC	0.577777778	562.1073826	18	GRANITES	0.6
160	b160	790635	1092760	50	300	V	CP	0.21684608	307.6615385	10.1	GNEISS-MIGMATITES	0.9
161	b161	790724	1092789.5	30	274	V	CP	0.325165892	188.5529412	6.2	GRANITES	0.9
162	b162	790838	1093058	50	384	V	CP	0.935443346	219.5481081	6.8	GRANITES	0.3
163	b163	790618	1092974	40	108	V	CP	1.204700442	248.5459016	7.7	GRANITES	1.6
164	b164	790594	1092865	70	43	V	CP	1.348436187	247.94	7.7	GRANITES	2.5
165	b165	790194	1093026	40	121	V	CP	0.385694608	168.5020408	5.4	GEOSYN. GRANITES	2.2
166	b166	790207	1093044	20	214	V	CP	0.786408476	90.49183673	2.9	VOLCANO-SEDIM. SCHISTS	1
167	b167	790635	1092760	50	300	K	CB2P	0.21684608	154.3548387	5	GNEISS-MIGMATITES	0.3
168	b168	790724	1092789.5	30	274	V	CP	0.325165892	390.5830189	12.3	GRANITES	1
169	b169	790838	1093058	50	384	V	CP	0.935443346		12.8	GEOSYN. GRANITES	10
170	b170	790618	1092974	40	108	V	CP	1.204700442	0	0	GEOSYN. GRANITES	0
171	b171	790594	1092865	70	43	V	CP	1.348436187	279.6940092	8.8	GRANITES	0.6
172	b172	790194	1093026	40	121	V	CP	0.385694608	255.64	8.3	GRANITES	1
173	b173	790207	1093044	20	214	V	CP	0.786408476	67.15116279	2.5	GRANITES	1
174	b174	794011	1075224	40	214	V	CP	0.945011866	40.75247525	39.2	GRANITES	2
175	b175	750113	1109485	30	644	K	CP	0.38210118	174.5352185	5.4	GRANITES	5.4
176	b176	730100	1084264	40	214	W	CP	0.945011866	30.89605839	8.4	GRANITES	5.4
177	b177	751199	1046065	100	820	U	CP	0.486351493		10	GEOSYN. GRANITES	1
178	b178	778248	1095270	50	91	C	CP	0.947989311	372.2488789	11.7	GNEISS-MIGMATITES	1.3
179	b179	776959	1096122	50	104	V	CP	0.992669135	0.178181818	4.9	GNEISS-MIGMATITES	1.1
180	b180	790880	1097857	50	91	V	CP	0.947989311	109.5728155	3.6	GNEISS-MIGMATITES	0.3
181	b181	779491	1127703	50	104	V	CP	0.992669135	0	0	GRANITES	0
182	b182	782855	1120124	40	32	V	NC	0.486135912	91.73394495	3	GRANITES	1
183	b183	764749	1110889	40	36	V	CB2P	1.217795012	360.0193548	11.4	VOLCANO-SEDIM. SCHISTS	2.2
184	b184	774495	1083300	20	33	V	NC	0.853497539	254.2	8.2	GRANITES	6.8
185	b185	763312	1092911	40	32	V	NC	0.486135912	151.1829268	4.9	GNEISS-MIGMATITES	1.5
186	b186	750028	1103404	40	36	V	CB2P	1.217795012	153.7179487	5	GEOSYN. GRANITES	8
187	b187	796335	1112851	20	33	C	CB2P	0.853497539	143.55	4.5	VOLCANO-SEDIM. SCHISTS	0
188	b188	776645	1116571	50	159	V	NC	0.756026118	374.3744681	12.4	VOLCANO-SEDIM. SCHISTS	1
189	b189	770261	1127259	50	94	C	CP	0.240717202	366.52	11.9	VOLCANO-SEDIM. SCHISTS	0.7
190	b190	764950	1135420	60	341	V	CP	0.344222069	178.5152866	5.7	GNEISS-MIGMATITES	0
191	b191	779649	1116147	50	159	V	CB2P	0.756026118	0	0	GEOSYN. GRANITES	0
192	b192	761337	1096177	50	94	V	CP	0.240717202	0	0	VOLCANO-SEDIM. SCHISTS	0
193	b193	756648	1079593	60	341	V	CP	0.344222069		6.9	GRANITES	10
194	b194	748690	1079390	20	62	V	CP	0.524627612	388.0521127	12.1	GRANITES	2
195	b195	785844	1050875	40	139	V	NC	0.854632656	344.9627329	11	GRANITES	3
196	b196	777836	1057377	40	266	V	NC	0.723056558	167.8695652	5.4	GRANITES	1.2
197	b197	772281	1057337	20	62	V	CP	0.524627612	134.2812081	4.3	GRANITES	1.9
198	b198	769019	1051498	40	139	V	CP	0.854632656	298.5230769	9.8	GRANITES	1.3
199	b199	762364	1058310	40	266	V	NC	0.723056558	0	0	GEOSYN. GRANITES	0
200	b200	755132	1062138	40	126	V	EC	1.06627213	0	0	GEOSYN. GRANITES	0
201	b201	751669	1063754	40	126	V	CP	1.06627213	174.304918	5.4	GRANITES	0.6
202	b202	774964	1080470	50	115	U	NC	0.737850554	0	0	GEOSYN. GRANITES	1
203	b203	743108	1064444	50	115	W	EC	0.737850554	210.375	6.8	GEOSYN. GRANITES	0.9
204	b204	742109	1056386	60	58	V	CP	0.512042842	252.9424084	8	GEOSYN. GRANITES	0
205	b205	759426	1048897	40	161	C	CP	0.421628888		4.9	GRANITES	1
206	b206	755421	1041415	60	58	V	CP	0.512042842	78.24193548	2.5	GRANITES	1
207	b207	744474	1085027	40	161	V	CP	0.421628888	100.6011834	3.2	GRANITES	1
208	b208	792785	1085230	30	46	V	CP	0.184462639	29.7	4.5	VOLCANO-SEDIM. SCHISTS	1
209	b209	788410	1068940	50	48	V	NC	0.736569564	116.4875912	3.6	VOLCANO-SEDIM. SCHISTS	0.3
210	b210	789971	1061197	30	46	V	CP	0.184462639	0	0	VOLCANO-SEDIM. SCHISTS	0
211	b211	766015	1051626	50	48	V	CP	0.736569564	402.7020619	13.3	VOLCANO-SEDIM. SCHISTS	3.9
212	b212	776950	1055432	70	413	V	NC	0.886879692	0	0	GNEISS-MIGMATITES	2.3
213	b213	774807	1081364	40	193	W	EC	0.696115484	411.5668966	13.2	GRANITES	5
214	b214	776908	1081379	40	195	V	NC	0.580190179	351.0063444	10.9	GEOSYN. GRANITES	10
215	b215	757397	1037998	60	394	V	NC	1.198851091	460.2670391	14.6	GEOSYN. GRANITES	4
216	b216	769417	1037633	40	193	U	NC	0.696115484		10.9	GEOSYN. GRANITES	1
217	b217	777166	1046337	40	195	V	CP	0.580190179	241.2457143	7.6	GEOSYN. GRANITES	2.4
218	b218	767101	1046564	30	166	V	CP	0.630432552	537.3176471	17.3	GRANITES	1.4
219	b219	764835	1048486	50	401	C	CP	0.687709837		14.9	GRANITES	0
220	b220	761398	1046077	50	356	V	NC	1.350653402	209.526087	6.5	GRANITES	1.9
221	b221	759393	1053668	30	166	V	CB2P	0.630432552	802.8428571	26.2	GEOSYN. GRANITES	0.4
222	b222	755196	1052596	50	401	V	NC	0.687709837	651.2	20	VOLCANO-SEDIM. SCHISTS	1.6
223	b223	762777	1063681	50	356	V	CB2P	1.350653402	246.9677419	8	GNEISS-MIGMATITES	4
224	b224	770716	1066123	80	255	V	CP	0.277296777	0	0	GRANITES	0
225	b225	769183	1070586	60	1360	C	CP	0.117504509	254.4864865	8	GRANITES	7.8
226	b226	770141	1083417	50	744	C	CP	0.266115455	415.6835294	12.9	GEOSYN. GRANITES	1.5
227	b227	760401	1059937	80	255	V	CP	0.277296777	172.3679245	5.5	GRANITES	6
228	b228	764955	1052811	60	1360	C	NC	0.117504509	281.344186	9.4	GEOSYN. GRANITES	1
229	b229	768352	1060887	50	744	V	CP	0.266115455	0	0	GEOSYN. GRANITES	0
230	b230	765888	1054868	60	87	U	NC	1.072851668	0	0	GEOSYN. GRANITES	0
231	b231	772458	1054530	70	96	V	NC	1.090122954	395.6796117	13	GRANITES	0.8
232	b232	775843	1053609	60	87	V	CP	1.072851668	81.84946903	9.2	VOLCANO-SEDIM. SCHISTS	2
233	b233	775217	1055757	70	96	V	CB2P	1.090122954	334.4676923	10.8	GNEISS-MIGMATITES	2
234	b234	774008	1051222	60	87	K	CP	1.072851668	199.8604027	6.4	GNEISS-MIGMATITES	3
235	b235	777048	1053922	70	96	V	CB2P	1.090122954		6.7	GNEISS-MIGMATITES	1
236	b236	779909	1080347	60	87	V	CP	1.072851668	186.2805405	5.9	GRANITES	0.9
237	b237	750348	1046402	70	96	V	CB2P	1.090122954		8.9	GRANITES	0.7
238	b238	748690	1079390	60	87	V	CP	1.072851668	332.5445783	10.2	GRANITES	9
239	b239	785844	1050875	70	96	V	CB2P	1.090122954	302.3283856	0	GRANITES	0
240	b240	777836	1057377	60	87	W	NC	1.072851668	275.4604045	6.5	GRANITES	1
241	b241	772281	1057337	70	96	V	CB2P	1.090122954	348.5924233	9.2	GRANITES	1
242	b242	769019	1051498	50	66	V	CP	0.930232558	309.0266667	9.8	VOLCANO-SEDIM. SCHISTS	1.9
243	b243	762364	1058310	50	642	V	NC	1.21816215	107.712	3.4	VOLCANO-SEDIM. SCHISTS	1
244	b244	755132	1062138	50	415	C	NC	1.18930249	723.2689655	22.7	GRANITES	1
245	b245	751669	1063754	50	642	U	NC	1.21816215	175.23	5.9	VOLCANO-SEDIM. SCHISTS	10
246	b246	774964	1080470	40	177	V	NC	1.358284212	0	0	VOLCANO-SEDIM. SCHISTS	1.2
247	b247	743108	1064444	50	53	W	EC	0.56034877	309.3913907	9.9	VOLCANO-SEDIM. SCHISTS	1
248	b248	742109	1056386	50	126	U	NC	0.897913373	0	0	VOLCANO-SEDIM. SCHISTS	0
249	b249	759426	1048897	40	177	V	NC	1.358284212	306.2162162	10	GEOSYN. GRANITES	10
250	b250	755421	1041415	90	62	U	CB2P	1.140494808	207.4285714	6.6	VOLCANO-SEDIM. SCHISTS	1
251	b251	744474	1085027	50	126	K	CP	0.897913373	415.6868571	13.2	VOLCANO-SEDIM. SCHISTS	4.5
252	b252	792785	1085230	20	41	W	NC	1.172762466	0	0	VOLCANO-SEDIM. SCHISTS	1
253	b253	788410	1068940	80	47	C	CP	0.722151606	0	0	VOLCANO-SEDIM. SCHISTS	1
254	b254	789971	1061197	30	25	V	CP	1.414213562	0	0	VOLCANO-SEDIM. SCHISTS	2
255	b255	766015	1051626	70	135	V	CP	0.178086152	142.0408163	4.8	GRANITES	1
256	b256	776950	1055432	40	142	V	CP	0.488003272	452.9032258	7.8	GRANITES	0.2
257	b257	774807	1081364	50	417	K	CP	0.06104519	194.5330189	5.9	GRANITES	3
258	b258	776908	1081379	40	142	C	NC	0.488003272		0	GRANITES	0
259	b259	757397	1037998	20	33	V	NC	1.114228867	203.28	6.8	GRANITES	0.4
260	b260	769417	1037633	80	47	V	NC	0.722151606	63.56682028	2	GRANITES	0.3
261	b261	777166	1046337	30	25	K	CP	1.414213562	172.48	5.6	VOLCANO-SEDIM. SCHISTS	4.1
262	b262	767101	1046564	50	392	W	EC	0.50868396	136.9883721	5.1	VOLCANO-SEDIM. SCHISTS	1
263	b263	764835	1048486	40	253	C	NC	1.285648693	161.0465347	5.3	VOLCANO-SEDIM. SCHISTS	5
264	b264	761398	1046077	50	392	C	NC	0.50868396	387.8560411	12	VOLCANO-SEDIM. SCHISTS	0.5
265	b265	759393	1053668	40	253	W	NC	1.285648693	48.05474453	1.5	GRANITES	2.1
266	b266	755196	1052596	40	84	V	CP	1.245854805		5.8	GRANITES	10.8
267	b267	762777	1063681	100	413	U	NC	0.085606148	162.2623318	5.1	VOLCANO-SEDIM. SCHISTS	5.1
268	b268	770716	1066123	70	176	V	CP	0.409800521	64.08	2	GNEISS-MIGMATITES	2.6
269	b269	789971	1061197	40	84	V	CP	1.245854805	161.315534	5.3	GRANITES	5
270	b270	766015	1051626	100	413	C	CP	0.085606148	161.7942857	5.2	GNEISS-MIGMATITES	3
271	b271	776950	1055432	70	176	V	CP	0.409800521	1489.147706	48.7	GRANITES	1
272	b272	750028	1103404					0.733994894	85.26774194	2.7	GRANITES	0.7
273	b273	796335	1112851					1.058189267	260.4	8.4	GRANITES	0.5
274	b274	776645	1116571	110	84	W	EC	1.7852569	166.6097561	5.4	VOLCANO-SEDIM. SCHISTS	14
275	b275	770261	1127259	100	413	W	NC	0.52639	322.8076923	10.5	GRANITES	1.1
276	b276	790838	1093058	50	384	U	EC	0.935443346	185.02	5.8	GNEISS-MIGMATITES	0
277	b277	790618	1092974	40	108	V	CP	1.204700442	304.9340426	10.1	GNEISS-MIGMATITES	6
278	b278	790594	1092865	70	43	V	EC	1.348436187	0	0	GNEISS-MIGMATITES	0
279	b279	790194	1093026	40	121	W	EC	0.385694608	313.1847134	10	VOLCANO-SEDIM. SCHISTS	3
280	b280	751669	1063754	50	642	U	EC	1.21816215	175.23	5.7	VOLCANO-SEDIM. SCHISTS	13
281	b281	751669	1063754	50	642	U	EC	1.31816215	553.9529032	17.7	GRANITES	1.2
282	b282	790194	1093026	40	121	W	EC	0.385694608		6.2	GNEISS-MIGMATITES	0.9
