Grid	UTM
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	A122	 A12	User Waypoint	29 P 749534 1061331					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:17 PM 		
Waypoint	A5	 A5	User Waypoint	29 P 773470 1059889					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:54 PM 		
Waypoint	A51	 A5	User Waypoint	29 P 775487 1054834					Symbol & Name	Unknown	Waypoint					9/5/2021 5:25:58 PM 		
Waypoint	A5etRoute	 A5 et Route	User Waypoint	29 P 783677 1094704					Symbol & Name	Unknown	Waypoint					9/5/2021 5:25:19 PM 		
Waypoint	Route	Route	User Waypoint	29 P 776217 1161953					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:07 PM 		
Waypoint	Route1	Route	User Waypoint	29 P 748669 1136769					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:29 PM 		
Waypoint	Route10	Route	User Waypoint	29 P 778287 1095277					Symbol & Name	Unknown	Waypoint					9/5/2021 5:25:40 PM 		
Waypoint	Route11	Route	User Waypoint	29 P 776515 1051845					Symbol & Name	Unknown	Waypoint					9/5/2021 5:26:01 PM 		
Waypoint	Route12	Route	User Waypoint	29 P 772216 1095833					Symbol & Name	Unknown	Waypoint					9/5/2021 5:27:04 PM 		
Waypoint	Route13	Route	User Waypoint	29 P 789892 1180154					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:13 PM 		
Waypoint	Route14	Route	User Waypoint	29 P 760382 1174862					Symbol & Name	Unknown	Waypoint					9/5/2021 5:28:18 PM 		
Waypoint	Route2	Route	User Waypoint	29 P 770648 1042266					Symbol & Name	Unknown	Waypoint					9/5/2021 5:24:17 PM 		
Waypoint	Route3	Route	User Waypoint	29 P 794011 1075224					Symbol & Name	Unknown	Waypoint					9/5/2021 5:24:30 PM 		
Waypoint	Route4	Route	User Waypoint	29 P 750113 1109485					Symbol & Name	Unknown	Waypoint					9/5/2021 5:24:39 PM 		
Waypoint	Route5	Route	User Waypoint	29 P 730100 1084264					Symbol & Name	Unknown	Waypoint					9/5/2021 5:24:51 PM 		
Waypoint	Route6	Route	User Waypoint	29 P 751199 1046065					Symbol & Name	Unknown	Waypoint					9/5/2021 5:24:54 PM 		
Waypoint	Route7	Route	User Waypoint	29 P 778248 1095270					Symbol & Name	Unknown	Waypoint					9/5/2021 5:25:07 PM 		
Waypoint	Route8	Route	User Waypoint	29 P 776959 1096122					Symbol & Name	Unknown	Waypoint					9/5/2021 5:25:09 PM 		
Waypoint	Route9	Route	User Waypoint	29 P 790880 1097857					Symbol & Name	Unknown	Waypoint					9/5/2021 5:25:32 PM 		

