hole_id,strata_name,rock_name,aquifer_group,depth_top,depth_bottom,layer_thickness,resistivity,gamma_gamma,natural_gamma,sp,short_distance_gamma,well_diameter,pumping_level,aquifer_thickness,hole_depth_before_pumping,hole_depth_after_pumping,hole_depth_loss,depth_starting_pumping,pumping_depth_at_the_end,pumping_depth,section_aperture,k,kp,r,rp,remark
H1102,siltstone,,V,616.0,616.8,0.76,22.0,1181.75,11.5725,-7.6525,560.25,196.971875,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,616.8,618.5,1.62,18.94117647,780.5882353,9.201176471,-6.328235294,541.5882353,198.6473529,,,,,,,,,,,,,,
H1102,siltstone,,V,618.5,618.95,0.43,15.0,1157.555556,13.84888889,-6.615555556,520.8888889,210.34,,,,,,,,,,,,,,
H1102,carbonaceous mudstone,,V,618.95,619.15,0.19,14.5,1696.0,12.7275,-6.6425,695.0,211.385,,,,,,,,,,,,,,
H1102,siltstone,,V,619.15,619.52,0.35,15.57142857,1271.714286,13.59,-6.64,538.2857143,210.9528571,,,,,,,,,,,,,,
H1102,coal,14 coal,V,619.52,619.72,0.19,26.75,2729.5,10.8925,-6.6025,471.5,210.3725,,,,,,,,,,,,,,
H1102,siltstone,,V,619.72,621.7,1.88,20.425,824.5,16.7345,-6.5165,500.25,208.843,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,621.7,622.6,0.86,17.27777778,839.1111111,14.515,-6.304444444,477.0,207.0788889,,,,,,,,,,,,,,
H1102,medium-grained sandstone,,V,622.6,623.6,0.95,21.6,1128.5,10.745,-6.8915,553.9,212.2355,,,,,,,,,,,,,,
H1102,carbonaceous mudstone,,V,623.6,623.85,0.24,20.2,4260.8,12.582,-7.152,512.8,237.02,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,623.85,624.5,0.61,20.61538462,1194.307692,13.01461538,-7.203076923,524.1538462,200.7723077,,,,,,,,,,,,,,
H1102,medium-grained sandstone,,V,624.5,633.0,8.04,27.31764706,738.0705882,9.077176471,-6.811117647,521.4352941,185.4615882,,,,,,,,,,,,,,
H1102,coarse-grained sandstone,,V,633.0,642.61,9.09,26.7,743.09375,7.761666667,-6.486510417,529.0520833,180.0211979,,,,,,,,,,,,,,
H1102,coal,15-1 Coal,V,642.61,643.13,0.49,28.30729167,5021.4,4.347,-6.415,590.2,197.6,,,,,,,,,,,,,,
H1102,siltstone,,V,643.13,643.85,0.68,22.53333333,1495.333333,13.64266667,-6.635333333,576.6666667,205.338,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,643.85,644.42,0.54,19.45454545,1136.727273,9.600909091,-6.877272727,641.4545455,207.8118182,,,,,,,,,,,,,,
H1102,coal,15-2 coal,V,644.42,644.77,0.33,27.42857143,3946.857143,8.571428571,-7.372857143,577.7142857,207.6814286,,,,,,,,,,,,,,
H1102,carbonaceous mudstone,,V,644.77,645.6,0.78,22.29411765,2299.411765,13.18764706,-7.66,568.0,207.4270588,,,,,,,,,,,,,,
H1102,siltstone,,V,645.6,646.05,0.43,21.33333333,967.3333333,13.74111111,-7.131111111,480.4444444,200.9044444,,,,,,,,,,,,,,
H1102,medium-grained sandstone,,V,646.05,647.8,1.65,20.2,766.4571429,8.508857143,-6.057428571,519.6571429,197.4114286,,,,,,,,,,,,,,
H1102,siltstone,,V,647.8,651.1,3.12,19.87878788,822.6363636,15.455,-6.513939394,500.6060606,203.5015152,,,,,,,,,,,,,,
H1102,fine-grained sandstone,,V,651.1,651.78,0.64,20.23076923,1230.0,11.05,-7.136153846,561.5384615,203.2884615,,,,,,,,,,,,,,
H1102,coal,,V,651.78,652.02,0.23,19.0,3390.0,9.144,-7.758,437.6,199.432,,,,,,,,,,,,,,
H1102,mudstone,,V,652.02,652.95,0.88,17.63157895,880.6315789,18.83105263,-7.539473684,501.5789474,199.1021053,,,,,,,,,,,,,,
H1102,siltstone,,V,652.95,659.1,5.81,25.35772358,694.5853659,15.64869919,-7.536666667,481.9512195,199.1873171,,,,,,,,,,,,,,
H1102,coal,16 coal,V,672.8566666666667,674.4883333333333,1.518333333333333,40.945696258333335,4598.970387,5.416945347666666,-5.080447969166667,607.2701784999999,201.75319211666667,,,,,,,,,,,,,,
H1104,siltstone,J2z,I,65.995,100.615,34.28,19.286341675000003,,12.71171644,-1.9946108905,4314.50719,269.97214195000004,,,,,,,,,,,,,,
H1104,mudstone,,I,115.8,116.93,1.12,17.83,,15.72409091,-1.740909091,4531.181818,271.8872727,,,,,,,,,,,,,,
H1104,siltstone,,I,116.93,126.85,9.82,18.90326633,,11.58703518,-1.564522613,3821.070352,271.9183417,,,,,,,,,,,,,,
H1104,fine-grained sandstone,,I,126.85,127.93,1.07,18.56238095,,12.43714286,-1.395238095,4481.333333,272.0190476,,,,,,,,,,,,,,
H1104,siltstone,,I,127.93,135.72,7.71,18.47128205,,11.83288462,-1.640448718,4212.891026,271.8110256,,,,,,,,,,,,,,
H1104,fine-grained sandstone,,I,135.72,136.79,1.06,18.86666667,,13.32190476,-1.627619048,3393.380952,271.8104762,,,,,,,,,,,,,,
H1104,mudstone,,I,136.79,143.74,6.88,18.01402878,,10.89791367,-1.445971223,4864.640288,273.0769065,,,,,,,,,,,,,,
H1104,siltstone,,I,143.74,155.48,11.63,18.96438298,,10.35434043,-1.02587234,3840.178723,269.2816596,,,,,,,,,,,,,,
H1104,fine-grained sandstone,,I,155.48,163.44,7.88,19.65132075,,11.76861635,-1.075031447,4112.371069,265.9048428,,,,,,,,,,,,,,
H1104,mudstone,,I,163.44,169.2,5.7,18.19715517,,12.47534483,-0.974568966,4278.241379,271.8038793,,,,,,,,,,,,,,
H1104,siltstone,,I,169.2,174.3,5.05,18.52990196,,12.54666667,-1.034117647,4221.715686,271.8086275,,,,,,,,,,,,,,
H1104,fine-grained sandstone,,I,174.3,176.5,2.18,18.14636364,,13.78795455,-0.954772727,4792.045455,271.8025,,,,,,,,,,,,,,
H1104,mudstone,,I,176.5,189.12,12.5,18.27071429,,14.62801587,-0.778253968,5399.09127,271.7705556,,,,,,,,,,,,,,
H1104,fine-grained sandstone,,I,189.12,195.63,6.45,18.897,,13.07984615,-0.632846154,5395.561538,271.8055385,,,,,,,,,,,,,,
H1104,mudstone,,I,195.63,209.08,13.32,18.68055762,,12.95475836,-0.674758364,5807.05948,257.6932342,,,,,,,,,,,,,,
H1104,fine-grained sandstone,,I,209.08,211.08,1.98,19.01475,,9.72925,-0.674,5816.15,247.11775,,,,,,,,,,,,,,
H1104,siltstone,,I,211.08,235.1,23.79,19.56615385,,14.55492723,-0.649272349,4130.64657,249.3211227,,,,,,,,,,,,,,
