hole id;depth top  ;depth bottom;strata name;rock name;layer thickness ;resistivity;gamma-gamma;natural gamma;sp;short- distance gamma;well diameter ;aquifer group;pumping level;aquifer thickness;hole depth before pumping ;hole depth after pumping ;hole depth loss ;depth starting pumping ;pumping depth at the end;pumping depth ;section aperture ;k;kp;r;rp;remark 
H502;644.58;645.6;fine-grained sandstone;;1.01;38.55;1061.285714;18.44333333;-2.213809524;6206.904762;132.0171429;V;;;;;;;;;;;;;;
H502;645.6;647.6;siltstone;;1.99;35.277;900.5;19.40675;-2.319;6033.6;128.08175;V;;;;;;;;;;;;;;
H502;647.6;648.27;mudstone;;0.67;36.36692308;888.0769231;20.26615385;-2.365384615;5911.615385;124.8969231;V;;;;;;;;;;;;;;
H502;648.27;648.87;siltstone;;0.59;36.74416667;1004.25;21.12;-2.33;6185.916667;122.525;V;;;;;;;;;;;;;;
H502;648.87;649.67;mudstone;;0.79;46.61625;887.25;16.13875;-2.37;5789.25;118.598125;V;;;;;;;;;;;;;;
H502;649.67;651.85;fine-grained sandstone;;2.16;69.81159091;1072.659091;12.05;-2.3875;6333.318182;115.2777273;V;;;;;;;;;;;;;;
H502;651.85;652.1;carbonaceous mudstone;;0.25;74.73;4646.6;11.438;-2.252;10426.2;120.658;V;;;;;;;;;;;;;;
H502;652.1;652.53;coal;16 coal;0.43;67.05125;6850.875;8.96375;-2.22125;12389.125;122.23;V;;;;;;;;;;;;;;
H502;652.53;653.32;mudstone;;0.78;42.20125;1513.0625;20.073125;-2.22125;6637.5625;129.30375;V;;;;;;;;;;;;;;
H502;653.32;653.62;fine-grained sandstone;;0.3;41.5;815.8333333;17.91833333;-2.325;5631.166667;134.8733333;V;;;;;;;;;;;;;;
H502;653.62;654.58;mudstone;;0.95;46.78894737;1355.736842;15.53368421;-2.476842105;6841.105263;140.1926316;V;;;;;;;;;;;;;;
H502;654.58;656.62;coal;17-1 Coal;2.02;66.76487805;7559.634146;2.73195122;-2.394146341;12312.29268;144.7102439;V;;;;;;;;;;;;;;
H502;656.62;660.01;mudstone;;3.36;45.04926471;1141.705882;18.01838235;-2.082794118;6235.602941;125.1480882;V;;;;;;;;;;;;;;
